池田樹雷人	Ikeda Tree Raito
撒哈拉沙漠	Sahara Desert
愛貝克思唱片	Avex Records
普林斯顿 新泽西州	Princeton New Jersey
皮埃尔 路易吉 贝尔萨尼	Pierre Luigi Bersani
卡特琳娜霍尔姆市	Katerina Holm City
新潟站	Niigata Station
none 天使 音樂 寶貝	none angel music babe
河野廣貴	Kono Hiroki
盖尤斯 凯撒	Gaius Caesar
阿卜杜拉國王體育城體育場	King Abdullah Sports City Stadium
黃色魔術交響樂團	Yellow Magic Symphony Orchestra
瑪莉安 歌迪雅	Marianne Cotillard
腦水腫	Brain edema
雷定五世	Redding V
臺中市私立明德高級中學	Taichung City Private Mingde Senior High School
大卫 鲍伊	David Bowie
比利 威廉斯	Billy Williams
國立民雄高級農工職業學校	National Minxiong Senior Agricultural and Industrial Vocational School
l郵區	lPostal area
阿姆斯特丹奧林匹克體育場	Amsterdam Olympic Stadium
布魯塞爾南站	Brussels South Station
吳宜臻	Wu Yizhen
史篤城足球俱乐部	Stoke City Football Club
玛利亚 弗拉基米洛夫娜	Maria Vladimirovna
古波斯语	Old Persian
伊朗总理	Prime Minister of Iran
梅晋成	Mei Jincheng
香港甲組聯賽	Hong Kong League One
德雷森男爵保羅 德雷森	Baron Drayson Paul Drayson
索非亚技术大学	Sofia Technical University
聽見幸福	hear happiness
種子音樂	seed music
愛久見人心	Love sees people's hearts for a long time
烏拉爾聯邦管區	Ural Federal District
最遊記	most travel notes
李长春	Li Changchun
嘉世宮	Excellent Palace
胡贝图斯 萨克森 科堡 哥达	hubertus saxony coburg gotha
大橋惠	Ohashi Megumi
广播大厦	broadcasting building
拉姆貝斯華倫球場	Rambeth Warren Stadium
美国陆军医疗队	U.S. Army Medical Corps
埃列娜公主 罗马尼亚	princess elena romania
尼古拉斯 卡岑巴赫	Nicholas Katzenbach
鹹海 裡海語支	Aral Sea Caspian branch
圣阿尔坎杰洛 迪罗马涅	san arcangelo di romagna
空明拳	Kong Mingquan
sc preußen münster	sc preußen münster
史簡達布足球會	Stjendab Football Club
古特 摩辛	Gut Mosin
心理学家	psychologist
最快圈速	fastest lap
亚拉巴马州	Alabama
愛德華 肖特	Edward Short
老挝人民革命党	Lao People's Revolutionary Party
张君	Zhang Jun
西本雅崇	Masamune Nishimoto
伊活公園球場	Ewood Park Stadium
内政部长	interior minister
肇銅	Zhaotong
伊米 奧克松	Immi Oxon
妮可 基嫚	Nicole Kiman
亨利七世 英格兰	Henry VII England
阿拉善盟	Alxa League
泽尔德 桑多尔	Zelder Sandor
虞姬	Yu Ji
蘭卡斯特的布蘭奇	Blanche of Lancaster
波兰自由联盟	Polish Free Union
阿爾巴尼亞超級足球聯賽	Albanian Premier League
台儿庄区	Taierzhuang District
奧林匹亞俱樂部	Olympia Club
上塞纳省	Haute-Seine
甘地讷格尔	Gandhinagar
巴西民主運動黨	Brazilian Democratic Movement Party
木卫一	Io
張文英	Zhang Wenying
富美宮允子內親王	Prince Fumi Palace Yoonko
亨巴利圖 巴路基斯 泰西拿	Humberto Baruchis Tessina
明成皇后	Empress Mingcheng
日本气象厅	Japan Meteorological Agency
珍妮 巴斯	Jenny Buss
香港印鈔	Hong Kong money printing
瑞典信義會	Swedish Lutheran Church
法泰赫普尔西克里	Fatehpur Sikri
維堡 丹麥	viborg denmark
李克勤	Keqin Li
一级方程式赛车	Formula One
超級星光大道 星光傳奇賽	Super Walk of Fame Star Legends Tournament
塔德乌什 马佐维耶茨基	Tadeusz Mazowiecki
奥利弗 吉鲁	Oliver Giroud
慎貴人	Be careful
瓊州	Qiongzhou
美國運通	American Express
密爾瓦基縣 威斯康辛州	Milwaukee County Wisconsin
第一勸業銀行	First Advice Bank
镇江市	Zhenjiang
肯尼思一世	Kenneth I
國土交通省航空局	Aviation Bureau of the Ministry of Land, Infrastructure, Transport and Tourism
櫻井翔	Sakurai Sho
弗兰茨 卡尔大公	Archduke Franz Karl
斯威士蘭里蘭吉尼	Swaziland Lilangeni
東北格拉斯哥 英國國會選區	North East Glasgow UK Parliamentary Constituency
将军 軍銜	general
本木雅弘	Masahiro Motoki
吉尔吉斯斯坦索姆	kyrgyzstan som
太古集團	Swire Group
菲律賓自治市	Philippine municipality
多佛 特拉华州	Dover Delaware
无耻之徒	shameless
嘉陵江	Jialing River
黑色安息日	black sabbath
罗杰 梅尔森	Roger Myerson
多布罗特卡	Dobrotka
比尔耶尔 马格努斯	Birger Magnus
韦伯	Weber
老撾语	Lao
庇护三世	Pius III
约克郡 亨伯 歐洲議會選區	Yorkshire Humber European Parliament constituency
贝尔克姆 圣阿加特	Berkham Saint-Agat
香港貿易發展局	Hong Kong Trade Development Council
韦姓	Wei surname
马克 范博梅尔	Mark van Bommel
尹姓	Yin surname
萬宇衡	Wan Yuheng
奧利弗 特維	Oliver Twee
尼迪基	Nidiki
法比奧拉王后 比利時	Queen Fabiola Belgium
護法運動	Dharma Protection Movement
阿纳托利 基纳赫	Anatoly Kinach
羅伯特 洛威特	Robert Lovett
喬恩 泰斯塔	Jon Testa
聖胡安縣 猶他州	San Juan County Utah
约翰 布莱尔 比克斯塔夫	John Blair Bickerstaff
加賀市	Kaga City
福田信昭	Nobuaki Fukuda
潘嘉德	Pangarde
哈罗德 威廉姆斯	Harold Williams
阿萨姆族	Assamese
吳文楚	Wu Wenchu
南京理工大学	Nanjing University of Science and Technology
保送	walk
強力流行	strong pop
國家大學體育協會 菲律賓	National Collegiate Athletic Association Philippines
王毅	Wang Yi
劉偉傑	Liu Weijie
蘇珊 穆凯西	Susan Mucasey
黑龙江火山鸣泉足球俱乐部	Heilongjiang Volcano Mingquan Football Club
卡齐米日四世 雅盖隆契克	Kazimierz IV Jagielloncik
新北產業園區站	New Taipei Industrial Park Station
印度尼西亚总统	indonesian president
林賽 格雷姆	Lindsay Graham
工黨 荷蘭	Labour Party Netherlands
胡志強	Hu Zhiqiang
詹姆斯 布莱克	James Black
生理学	Physiology
岡山郡	Okayama-gun
西部省 巴布亞紐幾內亞	Western Province Papua New Guinea
玛蒂娜 纳芙拉蒂洛娃	Martina Navratilova
大宅皇女	mansion queen
今上天皇	today the emperor
茶树	tea tree
伊斯法罕大學	University of Isfahan
張株聖	Zhang Zhusheng
拉姆齊 麥克唐納	Ramsay MacDonald
林子善	Lin Zishan
我家小孩有夠多 大家族奮鬥記	My family has enough children, big family struggles
大衛 珀杜	David Perdue
德國元帥列表	List of German marshals
中華民國外交部	Ministry of Foreign Affairs of the Republic of China
昆廷 布賴斯	Quentin Bryce
全国交通枢纽城市	National transportation hub city
残奥会	Paralympic Games
努库阿洛法	nuku'alofa
許晉哲	Xu Jinzhe
黑森 达姆施塔特	Hesse Darmstadt
阿肯色州	Arkansas
王任重	Wang Renzhong
齐格蒙特 贝林	Sigismund Behring
愛爾蘭國家足球乙隊	ireland national football team
美國參議院衛生 教育 勞工及退休金委員會	U.S. Senate Committee on Health, Education, Labor and Pensions
迈克尔 库立兹	Michael Kuritz
克勞澤	Krause
柏雷素尔	Bresser
米哈伊爾 瓦西利維奇 伏龍芝	Mikhail Vasilievich Frunze
辛德勒的名单	Schindler's List
真愛配方	true love recipe
菲德尔 瓦尔德斯 拉莫斯	Fidel Valdes Ramos
邱吉爾兄弟體育俱樂部	Churchill Brothers Sports Club
神宮杉	Jingu Sugi
青盲	blue-blind
卢卡什 加什帕洛维奇	Lukas Gaspalovic
耶穌聖名主教座堂	Cathedral of the Holy Name of Jesus
阿尔科尔孔	Alcorcon
艾弗里 约翰逊	Avery Johnson
路易斯 阿德里亚诺	Luis Adriano
伊斯蘭議會	islamic parliament
历史哲学	philosophy of history
安大略省省议会	Ontario Provincial Assembly
印度盧比	Indian Rupee
李建国	Li Jianguo
愛德華 克特西斯	Edward Ktexis
阮岳	Ruan Yue
織田信治	Oda Shinji
恒河	Ganges
尤德	Yoder
娜塔莉 基里尔洛夫娜 纳雷什金娜	Natalie Kirill Lovna Naryshkina
奥兰多 布鲁姆	Orlando Bloom
韦洛坡内阁	veloppo cabinet
公开密钥加密	public key encryption
勒皮	Le Puy
平安道方言	Ping An Dao dialect
出云大社	Izumo Taisha Shrine
朝鮮世祖	Joseon Sejo
張璐勁	Zhang Lujin
珍妮佛 羅許	Jennifer Rush
布偉傑	Bu Weijie
曾大仁	Zeng Daren
安和	Anhe
閃電俠	flash
龍爭虎鬥	dragon fight
能美市	Nomi
本尼维斯山	Ben Nevis
美国文理学院	American College of Arts and Sciences
特里斯蒂納足球俱樂部	Tristina Football Club
齐格蒙特 奥古斯特	Sigismund August
惠提尔	Whittier
哈里 霍克里	Harry Hawke
阿诺 施瓦辛格	Arnold Schwarzenegger
莫里斯 顾夫 德姆维尔	Morris Couff Durmville
金龍泰	Jinlongtai
阿方索 巴西帝国皇子	Alfonso Prince of Brazil
白俄羅斯足球總會	Belarusian Football Federation
尤多西亞	Eudosia
北大年府	Pattani House
有限理性	bounded rationality
岐阜羽島車站	Gifu Hashima Station
佟吉生	Tong Jisheng
榎本武揚	Enomoto Takeyo
前田凌佑	Maeda Ryosuke
圣西尔	Saint Cyr
太政大臣	Prime Minister
毕尔巴鄂	Bilbao
凱文 馬格努森	Kevin Magnussen
彼得 阿列克谢耶维奇 克鲁泡特金	Peter Alexievich Kropotkin
埃及人	Egyptian
娛樂周刊	Entertainment Weekly
诺斯洛普 格鲁门	Northrop Grumman
中华人民共和国国家人口和计划生育委员会	National Population and Family Planning Commission of the People's Republic of China
派拉蒙電影	paramount movies
国家行政学院	National School of Administration
九龍城區	Kowloon City
喀山	Kazan
奥地利 巴伐利亚语	Austrian Bavarian
內布拉斯加州	Nebraska
中国佛教	Chinese Buddhism
約翰 薩班斯	John Sarbanes
希洪	Gijón
懷俄明州州長	Governor of Wyoming
動車組	EMU
朴次茅斯 俄亥俄州	Portsmouth Ohio
陸鼎堂	Lu Dingtang
理子女王	Queen Riko
白金 人組	Platinum group
呂西安 高德曼	Lucien Goldman
格鲁吉亚国家科学院	Georgian National Academy of Sciences
砺波市	Tonami City
菲蓋拉 達福什	Figueira da Foz
誠寧大君	Lord Chengning
伯恩哈德	Bernhard
莫爾塔禮 戈利 巴亞特	Mortaree Goli Bayat
立宪共和制	constitutional republic
詹姆斯四世 苏格兰	James IV of Scotland
科罗拉多急流	Colorado Rapids
文學評論	literary review
漢翔航空	Hanxiang Airlines
布萊頓肯普敦 英國國會選區	Brighton Kempton UK parliamentary constituency
於大之方	in the big way
差瓦拉 參威拉恭	Chawala Samwe Rakorn
蜀汉	Shu Han
傑弗里 基耶薩	Jeffrey Chiesa
吳敦義	Wu Dunyi
约维尔足球俱乐部	Yeovil Football Club
科爾馬克 墨菲 奧康納	Cormac Murphy O'Connor
朱麗亞 泰勒	Julia Taylor
白腹藍鶲	White-bellied blue flycatcher
李綉琴	Li Xiuqin
蒙古国立大学	Mongolian National University
朱鹮	Crested Ibis
聖尼古拉球場	St Nicholas Stadium
查理七世 神聖羅馬帝國	Charles VII Holy Roman Empire
科威特國家男子足球隊	Kuwait National Men's Soccer Team
卡加延河谷	Cagayan Valley
宋美齡	Song Meiling
麦迪逊 印第安纳州	Madison Indiana
日暮里 舍人線	Nippori
高盧意大利語支	Gallic Italian
中華民國長途電話區號表	Republic of China long distance telephone area code table
psv燕豪芬	psv yanhofen
天主教米兰总教区	Catholic Archdiocese of Milan
none en anıtkabir	none en anıtkabir
節宮貴子女王	Queen Takako
阿特罗米托斯足球俱乐部	Atromitos Football Club
坎皮略德杜埃尼亚斯	campillo de dueñas
黃嘉千	Huang Jiaqian
祖国 毛里求斯	Motherland Mauritius
贵阳市	Guiyang City
杨亨燮	Yang Hyung-sub
高橋直純	Naojun Takahashi
阿拉巴马大学	University of Alabama
佛山高明纪念中学	Foshan Gaoming Memorial Middle School
黃智賢 香港	Wong Chi-yin Hong Kong
捷克國家銀行	czech national bank
葛特 蘇馬	Gert Suma
謙遜耗子	humble rat
馬高 柏達連奴	Marco Patalino
孝懿王后	Queen Xiaoyi
黎巴嫰	Lebanon
後鄉里	back village
林麗雲	Lin Liyun
艾力 新關	Aili New Pass
山東里	shandongli
塞尔吉奥 格拉	Sergio Guerra
自由民主党 德国	Liberal Democrats Germany
查內爾	Chanel
青岛海利丰足球俱乐部	Qingdao Hailifeng Football Club
保加洛域	Bulgarian Domain
琉球松鴉	Ryukyu jay
信樂團	Letter Orchestra
汉尼拔	Hannibal
巴基斯坦卢比	Pakistani Rupee
哈羅德 麥美倫	Harold McMillan
梁靜茹	Liang Jingru
asec米莫薩	asec mimosa
伊倫 約里奥 居里	Irene Joliot Curie
王秋明	Wang Qiuming
会飞的家乡	flying hometown
耶路撒冷希伯來大學	Hebrew University of Jerusalem
梅拉妮 贝林格	Melanie Bellinger
王瑜	Wang Yu
山地元治	Yamamoto Genji
库比克	Kubic
爱媛县	Ehime Prefecture
卡米爾 格羅西茨基	Kamil Grosicki
約翰尼 塞科托	Johnny Sekoto
阿爾瑪學院	Alma College
凌成兴	Ling Chengxing
天熹娛樂	Tianxi Entertainment
弗里德里希 阿格兰德	Friedrich Agrande
喬治 達拉斯	George Dallas
显贵者埃德加	Edgar the Noble
智利陆军	Chilean Army
小椋祥平	Komuku Shohei
love my life 皇后乐队歌曲	love my life queen song
阿依努語族	Ainu language family
太平洋	Pacific Ocean
盛乐	Shengle
长安	Chang'an
日本平運動公園競技場	Nippon Flat Sports Park Arena
古部 健太	Kobe Kenta
弋阳县	Yiyang County
鳳明	Feng Ming
葡萄牙人 國歌	portuguese national anthem
法兰西丝 凯恩克罗丝	Frances Cairncross
武田廣	Takeda Hiro
蔡明容	Cai Mingrong
福岡黃蜂	Fukuoka Hornets
格格	Grid
milton rodríguez	milton rodríguez
勒內 笛卡兒	Rene Descartes
江作漢	Jiang Zuohan
林見如	Lin Jianru
印度人口	Indian population
伊比利亚半岛	Iberian Peninsula
汉弗莱 格洛斯特公爵	Humphrey, Duke of Gloucester
巴賽克縣	Basek County
季冠霖	Ji Guanlin
巴基斯坦語言	Pakistani language
雅赫摩斯 斯泰蒙	Ahmos Stemon
鄭洪然	Zheng Hongran
阿尔希拉尔足球俱乐部	Al Hilal Football Club
色彩詠唱 孤獨的破曉	Color chant lonely dawn
爱尔兰共和国	Republic of Ireland
中南财经政法大学	Zhongnan University of Economics and Law
瑪麗 蕾捷斯卡	Marie Rejeska
羅馬尼亞王國	Kingdom of Romania
英格蘭足球議會全國聯賽	england football council national league
庫珀 澳大利亞國會選區	Cooper Australian parliamentary constituency
塞隆尼斯 孟克	Thelonious Munch
丘海	Qiuhai
小港區	Xiaogang District
西中部德語	West Central German
華特 迪士尼	walt disney
多伦球场	Doron Stadium
马斯喀特	Muscat
保加利亚共产党	Communist Party of Bulgaria
英国文化	British Culture
约翰 伯顿 桑德森 霍尔丹	John Burton Sanderson Haldane
中华人民共和国国家卫生和计划生育委员会	National Health and Family Planning Commission of the People's Republic of China
李文	Li Wen
数字电视	Digital Television
康奈尔大学	Cornell University
电子游戏產業	Video Game Industry
貝克斯菲爾德果醬	Bakersfield Jam
喬治 桑塔亞那	George Santayana
海军大臣	Secretary of the Navy
井上敏樹	Inoue Toshiki
天津开发区导轨电车 号线	TEDA Rail Tram Line
軍隊主計長	army comptroller
纽约都会区	New York Metropolitan Area
爱德华 奥索布卡 莫拉夫斯基	Edward Osobka Moravsky
永恒轮回	Eternal Return
火烈鸟	Flamingo
麥克 班尼	mike benny
藤田陽一	Fujita Yoichi
none 巴拉德	none Ballard
威廉 巴特勒 叶芝	William Butler Yeats
金三角名校	Golden Triangle Schools
王唯農	Wang Weinong
請問您今天要來點兔子嗎	Would you like some rabbits today?
港興里	Gangxingli
东帝汶总统	President of East Timor
羅伊 馬斯坦古	Roy Mustangu
广域信息服务器	wide area information server
马尔施	Marsch
森勇介	Yusuke Mori
苏永利	Su Yongli
重庆市奥林匹克体育中心	Chongqing Olympic Sports Center
民主党 巴西	Democrats Brazil
工人国际法国支部	workers international france
巴爾的摩市議會	Baltimore City Council
理查 寇松 第二代斯卡斯代爾子爵	Richard Curzon, 2nd Viscount Scarsdale
國際中間派民主聯盟	International Centre for Democracy
亨利 吉尔平	Henry Gilpin
李羅權	Li Luoquan
綾波零	Ayanami Zero
采石工人乐队	the quarrymen
巴西众议院	Brazilian House of Representatives
楊錫彬	Yang Xibin
馬蒂科里	Mattikori
布魯斯 大衛	Bruce David
約克的伊麗莎白	elizabeth of york
蒙彼利埃足球俱樂部 女子足球隊	Montpellier FC Women's Soccer Team
布兰太尔 马拉维	Blantyre Malawi
烏來區	Wulai District
拉岡主義	Laganism
麦克唐纳 道格拉斯公司	McDonnell Douglas Company
克里斯 魏茲	Chris Weitz
伏爾塔瓦河	vltava
南奄美 沖繩語支	Minami Amami Okinawa branch
漫畫改編的電視劇列表	List of TV series based on manga
狄克西女子合唱團	Dixie Girls Choir
世袭王子宫	hereditary royal palace
王诜	Wang Xu
北非谍影	north african spy
紐漢區	Newham
運輸安全委員會	Transportation Safety Board
鴨志田一	Kamo Shidaichi
肖卡特 阿齐兹	Shaukat Aziz
厚生勞動大臣	Minister of Health, Labour and Welfare
許睿智	Xu Ruizhi
罗马尼亚王后列表	List of Queens of Romania
救急戰隊gogov	emergency team gogov
诺福克郡	Norfolk
科里 蒙蒂思	Corey Monteith
連捷哥夫	Lendegov
洪森	Hun Sen
甲信越地方	Koshin-Etsu place
斯科普斯山	Scopes Hill
爱德华六世	Edward VI
中厝里	Zhongcuoli
科克战役	Battle of Cork
呂有文	Lu Youwen
斯瓦米 帕拉瓦南达	Swami Palawananda
夏陳安	Xia Chenan
柏拉拿體育場	Polana Stadium
利文斯顿足球俱乐部	Livingston Football Club
法罗语	Faroese
溫流	warm flow
德黑兰帕斯足球俱乐部	Tehran Pass Football Club
马文 闵斯基	Marvin Minsky
中原大戰	Central Plains War
国际研究型大学联盟	International Alliance of Research Universities
布蘭戴斯大學	Brandeis University
史蒂芬 克拉克森	Stephen Clarkson
伊朗空军	iranian air force
姜瑞龍	Jiang Ruilong
胡德堡	fort hood
晋江	Jinjiang
痞子英雄	ruffian hero
和硕柔嘉公主	Princess Heshuo Roujia
法国内政部	French Interior Ministry
宣光市	Xuanguang City
