ロック (音楽)	rock (music)
幣原喜重郎	Kijuro Shidehara
モーシェ・ベン＝マイモーン	Moshe Ben-Maymon
ヤードバーズ	yardbirds
北バージニア方面作戦	Northern Virginia Campaign
ジャック・ケルアック	Jack Kerouac
二階俊博	Toshihiro Nikai
ルーカス・オイル・スタジアム	lucas oil stadium
高崎晃	Akira Takasaki
ミシェル・ドブレ	Michelle Dobre
all my best	all my best
グリーン郡 (インディアナ州)	Greene County, Indiana
アレッジド	Alleged
谷垣禎一	Teiichi Tanigaki
マキシム・トランコフ	Maxim Trankov
xbox	xbox
レインボウクエスト	rainbow quest
伊吹文明	Ibuki civilization
クリーブランド・キャバリアーズ	cleveland cavaliers
デヴォン	Devon
ジョルジオ・モロダー	Giorgio Moroder
アルカトラス	Alcatraz
ヘルメット (バンド)	helmet (band)
エリック・ハンプトン・ホルダー	Eric Hampton Holder
dahlia (アルバム)	dahlia (album)
ジョゼ・ソクラテス	Jose Socrates
ウィリアム・キャヴェンディッシュ (第4代デヴォンシャー公爵)	William Cavendish, 4th Duke of Devonshire
リンダ・マッカートニー	Linda McCartney
j.j.レート	j.j. rate
ヤンキー・スタジアム (1923年)	Yankee Stadium (1923)
ボールドイーグル	bold eagle
モーシェ・ダヤン	Moshe Dayan
宇垣一成	Kazunari Ugaki
t-ペイン	t-pain
フェンダー・ジャガー	fender jaguar
自由統一党 (イギリス)	Liberal Unionist Party (UK)
ブリトニー	britney
タボ・ムベキ	Thabo Mbeki
カール・グスタフ・ユング	Carl Gustav Jung
北ゲルマン語群	North Germanic
ナポレオン3世	Napoleon III
ウィリアム・オーガスタス (カンバーランド公)	William Augustus (Duke of Cumberland)
オール・バイ・マイセルフ	All By Myself
マリア2世 (ポルトガル女王)	Maria II (Queen of Portugal)
グランヴィル・ルーソン＝ゴア (初代スタッフォード侯爵)	Granville Lewson-Gore, 1st Marquess of Stafford
ecmレコード	ecm record
ザカリー・ダナヒュー	Zachary Donahue
エルバジェ (競走馬)	El Valle (racehorse)
ワシントン郡 (ロードアイランド州)	Washington County (Rhode Island)
等々力陸上競技場	Todoroki Athletics Stadium
スティーヴ・ジョーンズ	Steve Jones
yukihiro	yukihiro
バキル・イゼトベゴヴィッチ	Vakir Izetbegovic
シャキール・オニール	Shaquille O'Neal
ロス・セタス	Los Zetas
タジク語	Tajik
バルバロッサ作戦	Operation Barbarossa
イギリスの議会	british parliament
フォーサイス郡 (ノースカロライナ州)	Forsyth County, North Carolina
ロバート・p・レッチャー	Robert P. Letcher
イアン・ダンカン・スミス	Ian Duncan Smith
小磯國昭	Kuniaki Koiso
feel my mind	feel my mind
uncontrolled	uncontrolled
アルトゥール・ドミトリエフ	Artur Dmitriev
サウサンプトン郡 (バージニア州)	Southampton County, Virginia
トーキング・ヘッズ	talking heads
イフ・ユー・アスクト・ミー・トゥ	If You Ask Me To
ベンガル文字	bengali letters
エクソダス (バンド)	exodus (band)
エマーソン・レイク・アンド・パウエル	emerson lake and powell
ダブステップ	Dubstep
ロバート・ゼーリック	Robert Zoellick
カーネイジ	carnage
ミネソタ・ティンバーウルブズ	Minnesota Timberwolves
マライアズストーム	Mariah's Storm
ヨルン・ランデ	Jorn Lande
アニーバル・カヴァコ・シルヴァ	Annibal Cavaco Silva
ジョン・ダンフォース	John Danforth
ジェームズ2世 (イングランド王)	James II (King of England)
ジョン・セジウィック	John Sedgwick
イスラエルの大統領	president of israel
キャロル・キング	carole king
前原誠司	Seiji Maehara
ジョン・ペトルーシ	John Petrucci
ジョン・ランドルフ	John Randolph
朴槿恵	Park Geun-hye
ダーク・フューネラル	Dark Funeral
スペンサー・パーシヴァル	Spencer Percival
村上春樹	Haruki Murakami
アイルトン・ドス・サントス・フェラス	Ayrton Dos Santos Ferras
ランディ・ウィットマン	Randy Whitman
マッシヴ・アタック	Massive Attack
アンソニー・プリンシピ	Anthony Principi
千代田区	Chiyoda Ward
babymetal (アルバム)	babymetal (album)
レアル・ソシエダ	Real Sociedad
シチリア語	Sicilian
クリス・スレイド	Chris Slade
フランス人	French
プライヴェート・ダンサー	private dancer
カインド・オブ・マジック	kind of magic
ジョージ・バウトウェル	George Boutwell
ヴィクトル・ズブコフ	Victor Zubkov
ロル語	Lol
デラニー&ボニー	Delaney & Bonnie
マリリン・マンソン	marilyn manson
ジャン＝ピエール・ラファラン	Jean-Pierre Raffarin
ピーター・マンデルソン	peter mandelson
マガジン (イギリスのバンド)	Magazine (British band)
クリスエス	chris es
アリー・ハーメネイー	Ali Harmenei
リーズ・ユナイテッドafc	leeds united afc
カナー郡 (ウェストバージニア州)	Kanawha County, West Virginia
ウィリアム・マカドゥー	William McAdoo
アーネム	Arnhem
レオン・ラッセル	Leon Russell
レプリカンツ	Replicants
広島市	Hiroshima city
プルデンシャル・センター	Prudential Center
イヴァノエ・ボノーミ	Ivanoe Bonomi
カール16世グスタフ (スウェーデン王)	Carl XVI Gustaf (King of Sweden)
欧州理事会議長	President of the European Council
小林武史	Takeshi Kobayashi
デスティニー (ストラトヴァリウスのアルバム)	Destiny (Stratovarius album)
vulgar	vulgar
アイントラハト・フランクフルト	Eintracht Frankfurt
unreal engine	unreal engine
アレクサンドラ・オブ・デンマーク	Alexandra of Denmark
スリー・リバース・スタジアム	Three Rivers Stadium
デヴィルズバッグ	devil's bag
ゲンナジー・カルポノソフ	Gennady Karponosov
チャールズ・カーティス	Charles Curtis
フランス全国選手権	French National Championship
ガロ・イタリア語	Gallo Italian
ラリー・ブラウン	Larry Brown
潘基文	Ban Ki-moon
フィンランド社会民主党	Finnish Social Democratic Party
ポテイトーズ	Potatoes
ダルシャーン	Darshan
オースティン・ヘンリー・レヤード	Austin Henry Layard
ヴィクター・ホープ (第2代リンリスゴー侯爵)	Victor Hope, 2nd Marquess of Linlithgow
k.a.z (ギタリスト)	k.a.z (guitarist)
イマジン (アルバム)	Imagine (album)
レイジ (バンド)	rage (band)
林銑十郎	Senjuro Hayashi
ヘルムート・シュミット	Helmut Schmidt
ラット (バンド)	rat (band)
ヘルマン・フォン・ヘルムホルツ	hermann von helmholtz
パティ・ラベル	Patty Labelle
ジョージ・キャンベル	George Campbell
buck-tick	buck-tick
ハイチ系アメリカ人	Haitian American
リヴァース・クオモ	Rivers Cuomo
クラストコア	crust core
fcシャフタール・ドネツク	fc Shakhtar Donetsk
サッカー・ブンデスリーガ (オーストリア)	Soccer Bundesliga (Austria)
ヨルダン	Jordan
世田谷区	Setagaya
レイプマン (バンド)	rapeman (band)
チック・コリア	Chick Corea
床次竹二郎	Tokotsugi Takejiro
ガンマ・レイ	gamma ray
第1師団 (日本軍)	1st Division (Japanese Army)
ラヴレンチー・ベリヤ	Lavrenty Beria
ヴァン・ヘイレン	Van Halen
ポーランド立憲王国	Constitutional Kingdom of Poland
ベンヤミン・ネタニヤフ	Benjamin Netanyahu
caリーベル・プレート	caliber plate
ペルージャ・カルチョ	Perugia Calcio
usチッタ・ディ・パレルモ	us citta di palermo
キリスト教民主アピール	Christian Democratic Appeal
ワット・アイヴ・ダン	What I've Done
コロンボ県	Colombo District
アルベマール郡 (バージニア州)	Albemarle County, Virginia
アルベール2世 (ベルギー王)	Albert II (King of Belgium)
アルフェウス・ウィリアムズ	Alpheus Williams
レイジー	Lazy
イブン・スィーナー	Ibn Sina
エスタディオ・モヌメンタル・アントニオ・ベスプチオ・リベルティ	Estadio Monumental Antonio Vespuccio Liberti
ヴェストラ・イェータランド県	Vestra Gotaland County
スティーヴ・ウィンウッド	Steve Winwood
アレクサンダー・ハミルトン	Alexander Hamilton
アレクセイ・コスイギン	Alexei Kosygin
アレクセイ・ルイコフ	Alexei Rykov
オーストリア社会民主党	Austrian Social Democratic Party
ジェームズ・ブライス	James Bryce
サルデーニャ王国	Kingdom of Sardinia
エース・フレーリー	Ace Frehley
デイヴィッド・ミリバンド	David Miliband
アラビア語ハドラマウト方言	Hadramawt dialect of Arabic
前田米蔵	Maeda Yonezo
ロック・ウィズ・ユー (マイケル・ジャクソンの曲)	Rock With You (Michael Jackson song)
ジョン・マケイン	John McCain
ペトロブラス	Petrobras
ブラクストン・ブラッグ	braxton bragg
ネヴィル・チェンバレン	Neville Chamberlain
トニー・カナーン	Tony Kanaan
ホイットニー・ヒューストン	whitney houston
パラダイス・シティ	paradise city
リーズ	Leeds
温家宝	Wen Jiabao
鳩山邦夫	Kunio Hatoyama
ブルガリア王国 (近代)	Kingdom of Bulgaria (Modern)
ウクライナ・プレミア・ディビジョン	Ukraine Premier Division
デポルティーボ・ラ・コルーニャ	Deportivo La Coruña
田中角栄	Kakuei Tanaka
海峡植民地	strait colonies
アレクサンドル・スクボルソフ	Alexander Skvorsov
デザートキング	dessert king
神戸市	Kobe City
エルヴィス・プレスリー	Elvis Presley
ダラカニ	Darakani
アンドレ・ロッテラー	André Lotterer
ラスク (バンド)	rusk (band)
caオサスナ	ca Osasuna
山口県	Yamaguchi Prefecture
トリッキー・スチュワート	tricky stewart
ウィリアム・テイラー・バリー	William Taylor Barry
アレッサンドロ・ペルティーニ	Alessandro Pertini
サッカーガリシア代表	Galicia national football team
ピーター・キャリントン (第6代キャリントン男爵)	Peter Carrington, 6th Baron Carrington
ザック・ワイルド	Zakk Wylde
キンクス	Kinks
古ノルド語	Old Norse
ヒラリー・クリントン	Hillary Clinton
今夜はビート・イット	Beat it tonight
フィンランドの首相	prime minister of finland
ガス・g	Gas・g
ogcニース	ogc nice
リライアント・スタジアム	Reliant Stadium
アナスタス・ミコヤン	Anastas Mikoyan
ナイル (バンド)	nile (band)
オーストラリア・ドル	Australian dollar
ドナルド・デイヴィッドソン	Donald Davidson
東ローマ帝国	eastern roman empire
玄葉光一郎	Koichiro Gemba
ギニアビサウ	Guinea-Bissau
サッカーモルディブ代表	Maldives national football team
モンゴメリー郡 (オハイオ州)	Montgomery County (Ohio)
ピエール・モーロワ	Pierre Mauroy
ウクライナの大統領	president of ukraine
ロバート・ケネディ	Robert Kennedy
李海チャン	Lee Hae-chan
ミルウォーキー	milwaukee
クウェート市	Kuwait City
ジュゼッペ・ペッラ	Giuseppe Pella
レッドランサム	red ransom
鈴木規郎	Norio Suzuki
陝西省	Shaanxi
オーファーベートゥヴェ	Overbetwe
アントニオ・ネグリ	Antonio Negri
モーリス・ギブ	Maurice Gibb
asサンテティエンヌ	as Saint-Etienne
トゥール (バンド)	tools (band)
ベック・ボガート & アピス	Beck Bogart & Appice
ブロンクス区	the bronx
月刊コミック電撃大王	Monthly Comic Dengeki Daioh
沢田泰司	Taiji Sawada
オスモス・プロダクション	osmos production
北ローデシア	Northern Rhodesia
ギリシャ・スーパーリーグ	Greek Super League
ブリソン諸語	Brythonic languages
デーモン・アルバーン	Damon Albarn
ロードランナー・ユナイテッド	roadrunner united
スロバキア語	Slovak
タンポポ (ハロー!プロジェクト)	Tanpopo (Hello! Project)
クラーク・クリフォード	Clark Clifford
ジョン・ステュアート (第3代ビュート伯)	John Stewart, 3rd Earl of Bute
ザ・フェイム	The Fame
ヴィクトリー (ジャクソンズのアルバム)	Victory (The Jacksons album)
リーミントン (競走馬)	Leamington (racehorse)
カーマイン・アピス	Carmine Appice
ホープレス・レコード	hopeless records
マギル大学	McGill University
リーヴァイ・リンカーン・シニア	Levi Lincoln Sr.
サンディエゴ	San Diego
リヴァーディ・ジョンソン	liverdy johnson
ハムデン・パーク	hamden park
ジョン・マクラフリン	John McLaughlin
ハーラル5世 (ノルウェー王)	Harald V (King of Norway)
デュラン・デュラン	Duran Duran
ラーズ・ウルリッヒ	Lars Ulrich
アンドリュー・スティーヴンソン	Andrew Stevenson
レアル・サラゴサ	Real Zaragoza
鈴木貫太郎	Kantaro Suzuki
平壌	Pyongyang
アルメニア	Armenia
エドワード・ヒース	edward heath
ミシェル・アリヨ＝マリー	Michel Arillo-Marie
マルセイユ	Marseille
ローペ・ラトヴァラ	Lope Latvala
デレク・アンド・ザ・ドミノス	Derek and the Dominos
スリランカの大統領	president of sri lanka
ブルサスポル	Bursaspor
シノト・リガ	Sinot Riga
ヘロド (競走馬)	Herod (racehorse)
ソユーズtma-10m	soyuz tma-10m
